Timestamp,Object_ID,Depth_mm
1741815398.1903894,1,46.2
1741815398.2734458,1,44.9
1741815398.406734,1,45.0
1741815398.406734,3,38.7
1741815398.4523642,1,44.3
1741815398.4523642,3,38.7
1741815398.49713,1,44.5
1741815398.49713,3,38.7
1741815398.5469725,1,45.1
1741815398.5469725,3,38.7
1741815398.5941408,1,44.7
1741815398.5941408,3,38.7
1741815398.6408248,1,45.0
1741815398.6408248,3,38.7
1741815398.6917503,1,44.9
1741815398.6917503,3,38.6
1741815398.7355032,1,44.7
1741815398.7355032,3,38.7
1741815398.8017116,1,45.0
1741815398.802708,3,38.7
1741815398.8413975,1,44.4
1741815398.8413975,3,38.7
1741815398.8889728,1,44.9
1741815398.8889728,3,38.7
1741815398.9211357,1,45.1
1741815398.9211357,3,38.8
1741815398.9759362,1,45.0
1741815398.9759362,3,38.8
1741815399.0292132,1,45.2
1741815399.0292132,3,38.8
1741815399.0757685,1,45.1
1741815399.0757685,3,38.9
1741815399.1223664,1,45.0
1741815399.1223664,3,38.8
1741815399.1790671,1,45.0
1741815399.1790671,3,38.9
1741815399.2347584,1,45.2
1741815399.2347584,3,39.0
1741815399.2924092,1,45.3
1741815399.2934182,3,39.0
1741815399.3391025,1,44.3
1741815399.3391025,3,39.3
1741815399.39105,1,45.1
1741815399.39105,3,39.8
1741815399.4349086,1,45.5
1741815399.4358974,3,40.2
1741815399.4856448,1,45.4
1741815399.4856448,3,40.3
1741815399.5417724,1,45.7
1741815399.5417724,3,40.4
1741815399.5977943,1,45.5
1741815399.5987945,3,40.7
1741815399.6441686,1,45.4
1741815399.6441686,3,41.6
1741815399.7011013,1,45.0
1741815399.7011013,3,40.8
1741815399.7562404,3,41.3
1741815399.814071,3,159.8
1741815399.8690562,3,159.3
1741815399.9273226,3,44.8
1741815399.976187,3,45.1
1741815400.0375526,3,43.5
1741815400.0887425,3,43.7
1741815400.0887425,1,46.0
1741815400.1378975,3,43.0
1741815400.1378975,1,46.0
1741815400.186893,3,43.2
1741815400.186893,1,45.3
1741815400.2373126,3,42.1
1741815400.2373126,1,44.8
1741815400.2798786,3,41.8
1741815400.2798786,1,44.7
1741815400.310736,3,41.4
1741815400.3568285,3,41.4
1741815400.402136,3,42.0
1741815400.4571822,3,42.2
1741815400.4937625,3,42.7
1741815400.5429676,3,42.7
1741815400.6022615,3,42.2
1741815400.663654,3,42.2
1741815400.7123995,3,41.8
1741815400.7576177,3,41.9
1741815400.8114896,3,41.7
1741815400.8587737,3,42.1
1741815400.88806,3,42.4
1741815400.941152,3,42.1
1741815400.9976215,3,42.1
1741815401.0333345,3,41.9
1741815401.0879982,3,42.1
1741815401.135433,3,41.9
1741815401.1839342,3,42.0
1741815401.1839342,1,45.5
1741815401.2288687,3,41.8
1741815401.2299216,1,45.5
1741815401.2817297,3,41.7
1741815401.2817297,1,45.5
1741815401.324127,3,41.8
1741815401.3251204,1,45.5
1741815430.870793,1,44.3
1741815431.053191,1,44.2
1741815431.0990453,1,44.5
1741815431.1000495,3,39.9
1741815431.1503444,1,43.9
1741815431.1503444,3,39.8
1741815431.2141564,1,44.1
1741815431.2141564,3,40.0
1741815431.2807558,1,44.2
1741815431.2807558,3,40.0
1741815431.3336797,1,44.9
1741815431.3346884,3,39.8
1741815431.3840158,1,43.9
1741815431.3840158,3,39.9
1741815431.4248197,1,44.9
1741815431.4248197,3,39.8
1741815431.4772162,1,43.8
1741815431.4772162,3,39.8
1741815431.526708,1,45.0
1741815431.526708,3,39.9
1741815431.5753045,1,43.9
1741815431.5753045,3,39.9
1741815431.6411254,1,44.9
1741815431.6411254,3,39.9
1741815431.687636,1,45.1
1741815431.687636,3,39.9
1741815431.743819,1,43.6
1741815431.743819,3,40.0
1741815431.8059728,1,44.0
1741815431.8059728,3,39.6
1741815431.873885,1,44.1
1741815431.873885,3,40.0
